Model,RMSE_log,RMSE_original,MAE_log,MAE_original,R2,Adj_R2,N_vars,N,N_valid,Pct_valid,CV_RMSE_log,CV_R2,Overfit_RMSE_log,Overfit_R2
M1: Structural,0.6862951814853838,172980.88805743234,0.4860258526472197,113702.54927314428,0.34420250074725384,0.34406597297541464,5,24023,23693,98.62631644673854,0.6862188365275321,0.34451401837809137,-7.634495785169282e-5,-3.1151763083753226e-4
M2: +Census,0.5916503983545869,137239.10780154422,0.37762965927156067,84251.13950663495,0.5126082436135311,0.5124458744101043,8,24023,23713,98.70956999542105,0.5915616184398516,0.5127920145093859,-8.877991473532632e-5,-1.8377089585486228e-4
M3: +Spatial,0.5870203535220976,135990.74599726434,0.37140179130829204,82773.39331568818,0.52020670323595,0.5199868987186702,11,24023,23714,98.71373267285519,0.5869203555836784,0.5203969430059849,-9.999793841919402e-5,-1.9023977003496118e-4
M4: +Interact+FE,0.5560509054074843,121478.69138068552,0.3379859877984464,73179.57938031621,0.5694962276924799,0.5669362806377198,142,24023,23726,98.76368480206469,0.5593203601661856,0.5644334497697802,0.003269454758701329,0.005062777922699713
