parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk,dist_transit_ft,transit_15min_walk,dist_to_hospital_ft,hospitals_15min_walk,total_popE,median_incomeE,per_cap_incomeE,PCBACHMORE,PCTPOVERTY,dist_to_nearest_school_ft,schools_within_15min_walk,age,age2,cooks_d,fitted,residual
433252900,2024-12-06,15.01860327512709,3,0.6931471805599453,6.955592608396297,19140,1,3,4,197,2700312.28170832,258791.4305038,4903,7.73993638929086,1,6.0461854070423495,170,8.349563010014085,0,6746,27979,9.485089169016064,5.2485549132947975,56.225911651348945,5.416153103086706,18,85,8.885440911707585,0.001900446143314225,11.747233968577241,3.2713693065498495
161218700,2024-04-24,15.048726872113876,3,0.6931471805599453,6.955592608396297,19132,1,4,4,167,2693796.40235165,250076.37903629,8305,7.048554663781988,5,5.605288811039262,165,8.651713113615129,0,3501,38973,9.947217315397454,12.28316924519456,29.44872893459012,6.705614017040743,15,110,9.401043372798052,0.001896550827899902,11.457280934774671,3.591445937339205
463060300,2023-11-09,15.444751293772969,3,0.6931471805599453,7.085901464365611,19143,1,4,4,81,2673299.10312323,235093.03761196,6035,6.806440347276199,2,5.67149151190188,166,7.386336526213799,0.6931471805599453,4902,45888,10.145217305326018,14.466705951679437,15.973072215422276,5.797281768316086,13,100,9.210440366976515,0.0018919223984238363,11.8993424408276,3.545408852945369
161198400,2024-04-24,15.048726872113876,3,0.6931471805599453,6.966967138613983,19132,1,4,5,167,2693767.54151697,249520.56420305,8502,6.8994560248670105,6,5.452571143269976,178,8.738965155579367,0,3501,38973,9.947217315397454,12.28316924519456,29.44872893459012,6.958422161964604,19,110,9.401043372798052,0.0018889847422635098,11.46463793576319,3.584088936350688
161199900,2024-04-24,15.048726872113876,3,0.6931471805599453,6.966967138613983,19132,1,5,5,167,2693796.76619606,249727.75342122,8496,6.909081816111898,5,5.556249390876944,175,8.706004564668204,0,3501,38973,9.947217315397454,12.28316924519456,29.44872893459012,6.900885367175039,18,110,9.401043372798052,0.001888739581628993,11.463968258439543,3.584758613674334
161199600,2024-04-24,15.048726872113876,3,0.6931471805599453,6.966967138613983,19132,1,5,2,167,2693790.96043339,249686.83913296,8499,6.903740651750901,5,5.6725644560685815,176,8.712596204579148,0,3501,38973,9.947217315397454,12.28316924519456,29.44872893459012,6.93153948021848,18,110,9.401043372798052,0.0018887378121382231,11.464098031139669,3.584628840974208
161181800,2024-04-24,15.048726872113876,3,0.6931471805599453,6.966967138613983,19132,1,4,4,167,2693857.70734714,249554.95356996,8454,6.808579078840335,6,5.415418392353202,180,8.728352520067892,0,3501,38973,9.947217315397454,12.28316924519456,29.44872893459012,6.944860903956999,19,110,9.401043372798052,0.001888691729583709,11.464415442126802,3.584311429987075
433328200,2024-04-24,15.048726872113876,3,0.6931471805599453,7.109062135687172,19140,1,5,4,197,2699717.56144106,259822.62955688,5494,7.2013826080134145,1,6.210818348542555,184,8.534421715948703,0,6746,27979,9.485089169016064,5.2485549132947975,56.225911651348945,6.491977662989707,16,100,9.210440366976515,0.001849236023228653,11.824142646039213,3.2245842260746636
232185400,2024-04-24,15.048726872113876,4,0.6931471805599453,7.451241684987676,19124,1,4,4,300,2715885.37720248,260678.56550905,4905,7.603818648894781,5,5.990697307095873,165,6.168324309128104,0.6931471805599453,8294,33205,9.860162427797754,16.778523489932887,38.003375934410414,7.198687593912385,10,90,8.999742789830492,0.0018386680719419451,11.85767536760933,3.191051504504547
071367300,2023-11-16,13.618200431681036,3,0.6931471805599453,6.591673732008658,19134,1,4,5,176,2703024.61191356,252386.79698764,10228,7.640352196992852,7,6.227160881195765,146,7.661070875221817,1.0986122886681098,4074,33750,9.42504844446929,4.579153946794593,52.9945999018164,6.838126680737439,20,105,9.30801139914963,0.0018362511287409447,10.84795830608076,2.770242125600277
433049800,2024-05-22,14.87786369040364,3,0.6931471805599453,6.836259277277067,19140,1,5,4,197,2700435.36577973,258377.28599088,4775,7.880278822080074,1,5.852673354064725,156,8.265961498628698,0.6931471805599453,6746,27979,9.485089169016064,5.2485549132947975,56.225911651348945,6.470243283255464,20,105,9.30801139914963,0.0018296242970145705,11.67750054336856,3.2003631470350804
642090100,2024-03-19,10.308985993422082,4,0.6931471805599453,7.3453648404168685,19149,1,4,4,331,2726445.61198747,268364.52946781,3848,7.509694296239713,5,5.039067575102763,95,8.924765559514551,0,5402,70882,10.12791028534872,16.452924616828277,23.65790447982229,6.763690829595394,10,70,8.497194544909547,0.0018195785948632538,12.412560583231429,-2.1035745898093463
043165900,2024-06-11,14.420919370067592,3,0.6931471805599453,6.985641817639208,19131,1,4,3,112,2672637.03489356,242723.98855738,7566,7.59274669885772,5,6.415439688661405,177,8.768509423946286,0,5307,28393,9.779623565313742,12.03170028818444,43.13171283210854,6.279863826605443,9,105,9.30801139914963,0.0018056649099737038,11.596779636630666,2.8241397334369265
071450600,2024-01-20,14.53902155645949,3,0.6931471805599453,6.665683717782408,19134,1,4,5,177,2704341.89307165,252640.15179588,10825,7.179538166618092,3,5.809300864689701,144,8.022860666938083,1.0986122886681098,4726,28750,9.522812613235182,7.894736842105263,61.40499365213712,6.2646194229755805,17,105,9.30801139914963,0.0017351531963937412,10.843196298361073,3.695825258098416
252114900,2024-05-08,14.45736497045232,3,0.6931471805599453,7.01301578963963,19134,1,4,4,178,2705625.60900815,250876.80164805,10798,7.052832993026233,4,5.349442866314325,160,8.128065201470399,0.6931471805599453,6592,32009,9.855661923053525,16.23108665749656,40.47330097087379,6.400391971747881,19,105,9.30801139914963,0.0016911196709369356,11.395544247455703,3.0618207229966155
012211700,2023-03-27,9.798182590890704,4,0.6931471805599453,7.2991214627108,19147,1,4,3,28,2694766.73636898,228646.99899489,5117,6.620895415071447,10,5.04750021611383,267,8.070418639999218,1.0986122886681098,5720,78871,10.779435341793006,54.02603132583278,18.304195804195807,7.027884792510903,21,125,9.65669147255669,0.0016472182607197405,12.84298727168169,-3.0448046807909863
