variable,coefficient
number_of_bathrooms,0.8755075217703963
total_livable_area,0.777487362387914
hospitals_15min_walk,0.1702639394147281
number_of_bedrooms,-0.12300886434219219
dist_to_hospital_ft,-0.028077737423342852
dist_to_park_ft,0.026001905358667955
park_within_15min_walk,0.02274234403170542
PCTPOVERTY,-0.022034178308142718
dist_transit_ft,-0.01939158434597156
dist_to_nearest_school_ft,-0.010091775155950621
schools_within_15min_walk,-0.00372056326720463
total_popE,-1.5148037098290004e-5
