parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk
081134205,2023-03-09,1475000,3,3,2100,2016,19146,1,3,3,12,2691274.40247439,233600.93593737,10398,1280.6373668736255,5
492027000,2023-02-06,109000,3,1,1170,1935,19120,1,4,4,285,2701108.09114031,264901.70306014,4972,649.0531343929031,2
531287700,2023-03-03,229000,3,1,1088,1925,19149,1,4,2,311,2714806.3455679,267386.74533413,4005,1679.1429043127348,2
622472100,2023-03-03,77000,3,1,840,1940,19135,1,4,4,319,2720592.42749965,260962.9655308,4194,852.8658274905172,6
023109610,2023-02-20,502500,3,2,1648,1790,19147,1,3,3,16,2698304.89759973,232170.94109397,3823,1755.3845146355984,7
402209700,2023-02-17,70000,3,1,1200,1920,19142,1,4,4,67,2675856.0028650602,225530.9970248,5122,924.6851624193413,4
463168600,2023-02-24,140000,3,1,1170,1925,19143,1,4,4,81,2674561.38734406,234838.06371246,6480,1021.2681573974675,2
032080900,2023-03-07,80000,3,1,1216,1925,19143,1,4,4,83,2670189.86688764,236377.65380913,3661,1370.3323799631398,4
463245300,2023-03-08,210000,3,2,1320,1925,19143,1,4,4,81,2672876.36217082,235067.22959271,5805,1137.3329159759721,3
031096100,2023-03-07,107500,3,3,1338,1925,19139,1,4,4,83,2670918.5986979,237481.53283496,5329,1258.3800043710946,4
422035000,2023-03-03,53000,3,1,863,1940,19140,1,4,4,287,2701840.54210323,261252.25727504,5258,2910.1348531209487,2
462035600,2023-02-04,229000,3,1,980,1920,19143,1,4,3,80,2675402.04248689,235231.65642922,6731,1945.1523877723228,2
393033400,2023-03-07,435000,3,3,1540,2017,19148,1,1,1,41,2695501.62302256,225744.80466805,5420,256.55575525237765,7
406278000,2023-01-30,202000,3,2,992,1925,19142,1,3,2,67,2676172.34475206,224102.87455297,4605,1411.5686596667938,2
406186800,2023-03-15,70000,3,1,992,1925,19142,1,5,4,62,2674366.11739339,224767.7623308,5368,765.0302184512653,3
662548000,2023-03-10,269900,3,1,1380,1983,19154,1,4,4,361,2741436.27754414,289073.26856205,784,991.0143905060769,1
393224400,2023-03-10,205000,2,1,900,1925,19148,1,4,3,41,2694743.12224297,222857.32848763,3781,1832.0756131895484,3
214247616,2023-03-10,380000,4,2,1699,1959,19128,1,4,4,218,2673674.78872356,274017.57262363,682,4082.994281991091,0
282031500,2023-03-10,21000,3,1,992,1915,19132,1,4,4,169,2688503.62061439,251341.52939314,5313,2814.8369216123842,4
211412120,2023-03-08,235000,2,1,800,1985,19127,1,4,4,215,2675214.22068407,264432.01272655,1511,1252.845804732497,2
451053600,2023-03-14,238900,2,1,920,1920,19134,1,4,4,379,2711684.3793709,249811.7024003,3141,821.0924442499139,5
622227600,2023-03-01,108000,3,1,1048,1945,19124,1,4,4,300,2717506.09902665,262510.37450947,4582,1475.4251047367954,3
513109700,2023-03-13,105000,3,1,1322,1925,19143,1,4,4,72,2673473.24057023,231953.1042593,4318,2343.6741042956087,2
101242000,2023-03-09,160000,3,2,1440,1965,19126,1,4,4,267,2697503.41790348,273961.3706363,3470,1960.124383643021,1
514193600,2023-03-02,85000,3,1,1098,1925,19143,1,4,4,70,2677163.31488298,230223.60115664,4616,1977.5232225442314,3
011437100,2023-03-08,165000,3,1,1176,1924,19148,1,4,4,27,2696844.14264722,227318.87796347,4723,1535.9192452772343,9
364315400,2023-03-03,200000,3,1,1071,1920,19146,1,4,2,33,2686217.90700997,229043.26526271,3736,883.1546681807381,5
182252900,2023-03-09,340000,4,2,1590,1915,19122,1,4,4,144,2698916.23824055,243965.7633048,5518,522.9068131344103,8
012000001,2023-02-24,1099136,3,3,3402,2023,19147,1,1,1,29,2692775.08320007,229216.60054597,5369,732.0806517738142,9
083110711,2023-03-06,1425000,3,3,2250,2022,19103,1,1,1,3,2689696.64545931,237668.36513847,6647,3688.8779316913906,1
412286900,2023-01-14,190000,3,2,1536,1950,19135,1,4,4,326,2727206.72102956,266262.63997079,4200,547.2055879308679,6
053143300,2023-02-09,833000,3,2,1280,1800,19107,1,4,2,11,2693980.49023806,233754.43300572,12843,1137.705514988482,5
012224400,2023-02-27,390000,4,1,1422,1924,19147,1,4,4,28,2694281.24226123,228254.08901955,5263,338.87255982994935,9
