parcel_number,sale_date,sale_price,number_of_bedrooms,number_of_bathrooms,total_livable_area,year_built,zip_code,category_code,exterior_condition,interior_condition,census_tract,x_coord,y_coord,crime_count_15min_walk,dist_to_park_ft,park_within_15min_walk
581126201,2023-11-15,50000,3,2,1845,1961,19115,1,3,3,356,2726355.90842673,290862.16098163,605,2050.45849856433,1
332312800,2023-07-31,185000,3,1,1440,1925,19124,1,4,4,191,2709355.06906889,257213.8667298,3467,1860.1061219745436,4
542316400,2024-09-16,101000,3,1,1188,1950,19149,1,4,4,313,2718833.23712039,269580.99652305,4821,1238.4864684101292,2
181172700,2024-06-30,399000,4,1,2292,1925,19125,1,4,4,158,2703162.13493247,244340.86327638,4387,844.048791600006,5
192214700,2024-07-09,47000,3,1,1060,1920,19133,1,4,4,176,2699815.54385665,251624.66202897,7480,1972.5352712074805,6
888582007,2024-07-14,197400,2,2,1074,1988,19116,1,4,4,365,2732132.93755506,301040.55597913,502,3536.613361523576,1
402020800,2024-12-18,29100,3,1,846,1920,19143,1,4,4,391,2678026.37614898,227304.77202055,4001,3111.822919116046,2
405795966,2024-12-14,230000,3,1,1360,1965,19153,1,4,4,55,2669250.50492123,216857.09016004,960,1131.4317086238852,2
112280100,2024-12-03,50000,3,1,972,1940,19140,1,5,3,202,2693408.6226154,254859.58698955,7268,910.311628616255,2
452233600,2024-09-30,90000,3,1,1016,1888,19134,1,4,2,382,2709972.01796623,252350.92074704,7426,1489.0663577470445,5
032157500,2024-07-26,114250,3,1,1062,1925,19143,1,4,3,82,2672104.02939789,235150.20449238,5284,1817.3389209889012,5
401190400,2024-09-05,130000,3,1,1200,1920,19142,1,4,3,66,2673896.73053689,226287.62116772,5150,1613.3576223415005,3
273050800,2023-10-02,15000,3,1,1392,1940,19143,1,6,5,74,2679394.68377981,232168.32594171,3314,754.440930115266,2
222154700,2024-07-07,410000,4,2,1760,1915,19119,1,4,3,255,2686027.01073822,275865.03677647,1680,1643.009926788794,2
172503215,2024-12-13,70000,2,1,830,1920,19138,1,3,4,279,2694340.66504264,270947.83302821,4227,1061.1512292733594,5
131311110,2024-12-03,30000,3,1,1224,1925,19140,1,4,4,205,2695229.91227989,259852.95265897,4753,2712.1558936367087,3
131182700,2024-10-15,230000,4,2,1442,1930,19140,1,4,2,201,2695525.68990356,258088.48145038,6187,3053.3564079989746,2
363133400,2024-05-05,78000,3,1,984,1925,19145,1,7,7,31,2689801.61080056,227898.78723672,5419,2192.2968070719903,7
102437700,2024-10-07,83000,3,1,1116,1925,19138,1,4,4,265,2695799.25234856,274487.28461072,4241,2266.618523897987,5
663409800,2024-07-02,228000,3,1,1224,1955,19154,1,4,4,363,2747487.47344698,289062.7361028,1402,2274.568364540204,2
311245200,2024-01-16,210000,2,2,984,1875,19125,1,4,2,160,2703130.03197831,246067.44414079,4703,1240.3105484291211,6
132273400,2024-12-13,218000,3,1,1170,1930,19140,1,4,4,203,2696499.29917681,259558.54970446,5886,1965.5916202242324,2
212004400,2024-12-11,230000,2,1,896,1955,19128,1,4,4,210,2679775.72796524,261046.2468603,1124,2569.823189513343,3
463256600,2024-11-05,79600,3,1,972,1925,19143,1,4,4,81,2672666.22348347,234011.15591747,4786,1071.9764920701766,3
344238600,2024-12-03,215000,3,1,1480,1925,19151,1,4,4,101,2669887.6617834,243490.37252329,4653,2074.3250384193616,3
252104500,2024-10-31,20000,3,1,1080,1920,19134,1,5,4,178,2706188.22828972,249908.03619713,9739,2206.7400385088195,4
364184800,2024-12-02,150000,3,1,1216,1925,19145,1,5,4,32,2687440.4042369,227926.24649939,4723,860.9751281595725,5
053126430,2024-10-29,770000,3,2,1302,1965,19147,1,3,3,11,2694547.85622931,233267.34474105,12163,392.43089874959264,6
232365200,2024-11-13,10000,2,1,930,1935,19124,1,4,4,299,2716306.65785597,258333.00228679,4751,1522.070317787616,2
662589100,2024-05-30,14000,3,1,1296,1973,19154,1,3,3,362,2745937.4604709,285630.61763896,1307,1578.3628990307027,1
502095000,2024-12-30,115000,3,2,1356,1950,19150,1,4,4,262,2691351.16019489,278523.54163004,2400,1738.5275937183796,3
071320800,2024-12-06,24000,3,1,968,1935,19134,1,4,4,176,2702469.33841781,251150.62787205,9229,1759.2163995633848,7
888570552,2024-11-01,256300,2,2,1602,1997,19114,1,4,4,346,2729585.7766389,281508.70232639,1595,6793.77296321606,0
344241100,2024-12-05,340000,6,2,2427,1925,19151,1,4,4,114,2669684.1976234,244127.95228489,4142,2481.8893888590223,3
161235600,2024-08-27,20000,3,1,1036,1915,19132,1,5,4,167,2693724.1475749,250129.22505921,8336,1239.623506097201,6
402243900,2024-11-22,152500,3,1,1088,1925,19143,1,4,4,67,2677748.4177154,226680.18599938,4209,3137.8286505080146,2
592187700,2024-03-05,140000,4,1,1840,1905,19144,1,5,4,252,2688599.76740372,268747.32299355,4244,1347.733758606481,3
371172200,2024-11-26,25400,3,1,808,1920,19133,1,4,4,165,2697212.32235706,250138.06231189,7841,1799.371885676678,5
404278400,2024-10-09,77000,3,1,960,1920,19142,1,4,4,60,2672914.21642581,221763.24701439,3531,1909.5141373311471,3
131073900,2024-08-27,25900,3,1,1056,1910,19140,1,6,6,202,2693773.24622998,257663.24345571,5683,1917.5286586082416,1
252100200,2024-08-06,20500,3,1,1192,1920,19134,1,4,4,178,2705677.02196306,250639.42285772,10683,1396.7592389320948,4
131237500,2024-10-09,18500,3,1,1170,1930,19140,1,6,4,201,2694727.63113223,256760.81284589,6282,1544.6561572531257,1
406567902,2024-07-17,111600,3,1,1360,1925,19142,1,4,4,61,2676219.6825839,223335.80358055,4220,1906.2184466827723,2
513280000,2024-12-19,210000,3,2,1160,1925,19143,1,3,2,71,2675410.89712797,231514.80625138,5381,2379.968076115297,3
071453700,2024-09-24,14500,3,1,1016,1920,19134,1,5,5,177,2704321.07454373,252085.34680313,10997,1188.949696504451,4
421479300,2024-11-03,40000,3,1,1350,1942,19120,1,5,4,289,2706183.1817119,263140.42311813,3922,2060.373307733389,2
043108100,2024-11-01,220000,3,2,1236,1920,19131,1,3,2,112,2673332.75102182,242364.83179538,8053,1407.9036231386542,4
042037500,2024-08-22,32500,4,1,1520,1920,19139,1,4,4,95,2672587.31156781,239538.70883872,8282,1747.1045482704196,4
482282800,2024-11-13,37100,3,1,896,1920,19145,1,7,4,37,2687848.11569181,227141.65981397,5193,1245.8359122758666,4
321185600,2024-11-20,360000,10,3,5130,1915,19121,1,4,6,153,2692940.93096548,248358.93922971,8726,1926.55280042787,7
521247100,2024-11-19,495000,4,3,3794,1925,19131,1,4,4,121,2677287.46096015,250387.73963405,1257,3817.288607502604,2
365124300,2024-03-06,400000,3,1,1336,1925,19145,1,3,3,30,2691526.65492265,228086.20812172,5599,651.7019215627704,9
612104000,2024-08-01,42200,3,1,1092,1928,19120,1,4,4,274,2703880.3178793,268519.76078463,3192,1931.2918527854813,5
371229600,2024-12-19,75000,3,1,1537,1920,19133,1,3,3,166,2696236.83152589,248683.0983583,8549,306.8591005702166,6
252416100,2024-11-21,57500,2,1,696,1910,19134,1,4,4,179,2707891.4755394,249927.54534447,8802,1864.4830103135757,7
111320000,2024-12-13,50000,4,1,1544,1915,19132,1,7,6,172,2692191.14571965,254160.63924046,6736,2099.0394217174467,3
663109600,2024-06-06,271656,3,1,1360,1962,19154,1,4,4,363,2746041.92876589,292139.51374188,764,647.8949114900526,2
282325100,2024-08-27,30500,3,1,1008,1915,19132,1,3,4,169,2688429.98296639,250447.59679779,5525,2224.426090580533,3
513043200,2023-12-01,30000,3,1,1170,1925,19143,1,4,4,72,2673222.19415632,232524.83080614,4399,1825.041933828137,1
403059400,2024-06-04,30000,3,1,1008,1920,19142,1,4,4,63,2673247.79187414,224781.10088679,4945,1495.3979882076983,3
532371600,2024-11-26,339900,3,2,2150,1950,19111,1,4,4,308,2714240.95135748,272414.0705813,2568,3408.737485006793,2
521334400,2024-11-06,275000,6,4,3068,1925,19131,1,4,4,120,2674180.75063814,250271.45508972,1431,1092.1040786103672,2
102501600,2024-12-12,309000,3,2,930,1925,19138,1,3,2,265,2695358.36707547,275368.52398996,4144,1420.1885062692138,4
232519700,2024-11-07,305000,6,2,1728,1920,19124,1,4,3,294,2714835.60764848,259232.41256146,4733,2580.733098089115,4
431045900,2024-10-21,165000,3,3,2208,1935,19140,1,4,4,200,2696905.45223589,254671.99714163,7095,2249.886220902137,4
112040700,2024-05-17,28600,3,1,1218,1933,19140,1,4,4,202,2692671.77697623,255413.01239188,6461,945.913037677544,2
062377600,2024-11-27,119900,3,1,888,1925,19139,1,4,4,105,2679210.62706131,241734.38948672,5163,1178.5200811793939,5
021246100,2024-11-07,395000,4,3,2332,1915,19147,1,4,2,23,2694715.39624856,229697.45621155,4974,269.12463986188374,12
406137800,2024-11-01,230000,3,1,960,1920,19142,1,4,4,61,2674104.57362515,221882.43148729,3990,718.620460652802,2
433111900,2024-10-09,179000,3,2,1200,1940,19140,1,4,2,197,2699445.67451765,258639.42719889001,5601,1767.0146187454664,1
521343300,2024-09-04,138000,3,2,1088,1920,19131,1,4,4,119,2674940.14642906,247027.25685371,3461,620.7128002405924,4
057150700,2024-12-20,40000,3,1,1531,1920,19123,1,4,4,142,2698148.16398931,242010.93388113,5625,1407.4839091107635,5
324064000,2024-03-17,295000,4,2,1744,1915,19121,1,4,3,149,2686637.82349297,247090.36630754,4224,2477.730775803264,3
133137000,2024-10-14,217000,3,1,1208,1930,19144,1,4,4,243,2692131.42864747,260798.14729089,3253,1281.4299157171993,1
402254900,2024-08-21,38900,3,1,1248,1925,19142,1,4,4,67,2677282.98459114,225761.34334888,4368,2316.4298873697717,2
161042800,2024-12-27,260000,4,4,1188,1915,19132,1,4,2,167,2694619.60936664,248899.70980172,8684,557.8223470572757,5
314045800,2024-02-05,300000,3,1,1200,1875,19125,1,3,3,161,2703166.56405748,248745.17205305,7114,1663.9240222753956,5
352038800,2024-10-17,250000,3,2,1230,1925,19120,1,4,2,305,2709943.16500556,269354.66790746,2195,1436.4542270574775,1
382174200,2024-11-30,56312,3,1,1480,1943,19132,1,4,4,170,2687967.27851123,254860.17885189,3378,2003.0539175714473,2
371353000,2024-12-19,40000,3,1,984,1925,19133,1,4,4,165,2696987.42320056,249293.0991068,7947,946.3442722572445,6
651285900,2024-01-24,175000,2,1,975,1920,19135,1,4,4,326,2728133.97311206,264419.25750272,2836,1470.0705682374914,5
232185500,2024-01-24,60500,2,1,1038,1935,19124,1,3,3,300,2715917.61959206,260694.15077971,4907,1990.6573242718825,5
394070120,2023-02-03,273000,2,1,900,1940,19148,1,4,3,40,2693122.33545831,225160.4800493,5226,1627.9122021745804,5
232099900,2024-11-29,136000,3,1,1272,1935,19124,1,4,4,300,2715123.68876523,259289.0515558,4816,2290.2487481845706,5
281426000,2024-12-03,50000,3,1,952,1915,19132,1,4,4,172,2690059.96494265,252574.40914522,6065,1623.8636223863687,3
411301105,2024-12-05,260000,4,2,1920,1935,19135,1,4,4,325,2725285.85741723,263221.57977997,4004,1074.20362916963,6
501347200,2024-11-25,200000,3,1,1284,1929,19138,1,4,4,263,2694706.23813039,279086.36694796,2176,2113.3174473859463,2
172491500,2024-12-20,105000,3,1,1056,1925,19138,1,4,3,277,2694442.92139982,272557.58538613,4241,1198.3366864981117,5
411091200,2024-10-24,250000,3,2,1320,1920,19135,1,4,2,321,2720797.01173614,260850.02054672,4064,659.1431208900626,6
433288200,2024-12-30,22500,3,1,960,1925,19140,1,4,4,197,2700170.26197922,260705.81217371,5711,1884.2336017606333,1
412239700,2024-12-26,242500,3,1,1376,1950,19135,1,4,4,326,2726535.0917954,267058.53962572,4338,844.5236690342869,6
551110500,2024-12-02,166000,3,1,1312,1950,19149,1,4,4,316,2722000.25178373,266538.15385547,4915,1653.1376211052707,5
395196800,2024-12-31,165000,3,2,1320,1920,19148,1,4,4,372,2694810.29763356,222044.88293405,3273,1931.0549238913516,2
888000149,2024-12-30,2800000,3,3,2163,2022,19130,1,1,1,125,2690583.50031289,239652.61970013,6155,2035.9456118383198,2
481236200,2024-11-01,265000,3,1,1120,1920,19145,1,4,3,39,2690574.03346831,226325.57155113,5473,1183.8211262351665,5
314193000,2024-12-23,237000,2,1,1312,1875,19125,1,4,4,161,2703861.63222115,249321.53343314,8174,2158.6949163329077,5
361156100,2024-11-26,180000,3,1,970,1923,19146,1,5,5,21,2690639.93031815,230463.47895771,5214,406.8737265425714,7
332290200,2024-10-08,195000,2,1,1070,1925,19124,1,4,4,191,2709329.48184973,258318.69916581,2884,1018.4762990460258,3
552283100,2024-12-18,90000,3,1,1138,1945,19135,1,4,4,319,2721433.61216898,262945.16005722,4529,2082.0517062124504,7
522110900,2024-12-31,30000,4,1,1528,1925,19131,1,6,5,118,2672343.69722565,248376.86471879,2364,2262.031249206716,3
888051660,2024-12-17,675000,1,1,803,1963,19106,1,4,4,10,2698848.08483356,233823.65858905,4050,2485.966988692363,2
122230200,2024-11-25,220000,4,1,1802,1915,19138,1,4,4,247,2692718.6574599,269726.89222863,3743,1641.115429112537,5
491183500,2023-05-18,70000,3,1,1200,1935,19120,1,4,4,285,2700940.19383831,263800.17015822,5339,1364.4290579612814,2
888380147,2024-12-30,370000,3,2,1977,2011,19129,1,3,3,207,2683075.18888597,257516.98554613,1061,1493.1794659693246,2
281264400,2024-12-06,180000,4,1,1626,1915,19132,1,4,4,169,2690793.5924124,250769.00232297,7843,1223.4687968093294,3
353142100,2024-11-27,320000,3,1,1334,1951,19111,1,4,4,307,2713946.74065982,272858.15565114,2427,3376.7670838548843,1
102047700,2024-12-31,180000,3,1,1152,1920,19138,1,4,4,267,2695615.01715273,273945.01732256,4209,2529.0242684210252,5
381226600,2024-10-10,114900,2,1,726,1925,19132,1,4,4,171,2689940.78046973,254624.84598921,5327,448.45006116817086,2
101285800,2024-11-15,198000,3,1,1344,1925,19138,1,4,4,266,2696456.75070548,276492.53945847,3198,1591.9860683097972,2
431009700,2024-11-13,42500,3,1,1254,1940,19132,1,5,4,200,2696160.95011598,253386.41605139,7554,1218.219103563079,2
162105500,2024-11-08,60000,3,1,908,1915,19132,1,4,4,168,2692903.20958422,249780.16374947,8643,1642.026979895708,7
162197700,2024-10-15,178000,4,1,1462,1915,19132,1,4,2,168,2691792.68424623,249533.56155238,8908,1602.3499856634505,6
053084375,2024-11-27,637500,3,2,1677,1970,19147,1,4,3,11,2693806.65101881,232992.54410955,12228,1000.7831922049543,8
888580943,2024-12-31,80000,1,1,672,1979,19115,1,4,4,356,2729772.84647472,290545.07729821,1116,1475.0730971234584,2
122165800,2024-12-23,112500,2,1,904,1920,19144,1,4,4,247,2690817.37812598,267982.41540264,4835,1231.5121755185285,5
291136100,2024-12-27,55000,3,1,858,1925,19121,1,4,5,138,2689778.73256548,245044.53116038,6879,808.3979798753528,5
341102600,2024-12-04,179000,3,1,1314,1925,19139,1,4,2,96,2671617.74526548,239484.74405164,7002,2401.96929049822,5
291343000,2024-11-25,170000,4,1,1662,1925,19121,1,4,4,138,2689418.63289198,245592.0120208,6344,487.2387713402272,4
501404000,2024-12-05,205000,3,1,1408,1929,19138,1,4,4,263,2694536.21320798,278766.61955597,2337,1826.1830700722937,2
331380300,2024-12-12,180000,3,1,1064,1920,19134,1,4,2,192,2707755.24680923,253559.03742529,8590,1138.702887472569,5
322186300,2024-11-13,42000,3,1,1088,1915,19121,1,4,4,151,2689876.04273832,248334.35692979,7540,533.5590911695526,6
131195800,2024-11-13,85000,4,2,1556,1940,19140,1,4,2,201,2695278.17301014,257827.58499055,6153,2694.3770416385823,2
551467000,2024-12-16,235000,3,1,1088,1945,19149,1,4,4,315,2726220.87490414,267702.03177705,4160,1542.681733796161,6
232250700,2024-12-20,120000,1,1,870,1925,19124,1,3,3,294,2714352.83171114,257593.73539263,3822,3007.5833406054267,3
393420000,2024-12-31,250000,3,1,1070,1925,19148,1,4,3,41,2694275.9102509,223778.07763039,4546,2155.820855348956,4
071215100,2024-12-31,78000,3,1,1046,1935,19134,1,4,4,176,2703409.69611715,251357.71899331,10771,2202.6640299192895,5
162056800,2024-12-31,85000,3,1,1044,1915,19132,1,4,4,167,2693122.42272848,249024.02254522,8919,1685.007231852663,7
151223600,2024-12-20,290000,3,1,1128,1920,19130,1,3,2,136,2689638.50810839,242663.6163028,5532,2412.939416331554,5
344422100,2024-11-20,106000,3,1,1024,1955,19151,1,4,4,115,2667553.50798714,244190.18936513,2414,809.1655217058087,2
888001365,2024-12-17,875000,2,2,1095,2023,19118,1,1,1,387,2679958.53993556,281330.44284038,374,2047.8968418056515,1
091253410,2024-12-30,1350000,5,3,3260,1925,19118,1,2,2,387,2681330.34624706,282375.09363821,438,1843.1955025545249,1
492005400,2024-12-19,271000,3,2,1322,1940,19141,1,4,3,284,2699894.15393564,264501.29998955,4957,832.4948228899028,2
073180100,2024-12-20,66950,3,1,864,1935,19134,1,4,4,192,2705429.8584154,254208.42162521,9125,732.0032806880714,4
572138134,2024-12-27,340000,3,2,1368,1958,19114,1,4,3,348,2736206.13938239,275602.21249896,1207,2528.699311066982,2
463066500,2024-12-30,60000,3,1,1110,1925,19143,1,4,2,81,2673788.24158065,234926.97462389,6263,647.1419375593341,2
043001200,2024-12-30,206000,4,1,1728,1920,19131,1,4,3,102,2673986.27235256,241267.79888447,8956,501.1275126235968,4
406101200,2024-11-15,82500,3,1,960,1920,19142,1,4,4,62,2673979.54237914,223334.66545947,5113,1512.6468885869863,3
402128600,2024-12-20,87000,3,1,938,1925,19142,1,4,4,67,2675962.86912115,225076.94445522,5047,873.8602858050807,3
261306200,2024-12-27,180000,3,1,1040,1920,19145,1,4,4,39,2690722.91702881,224062.49700905,4922,1324.057107091226,3
651167600,2024-12-26,230000,3,1,1234,1945,19136,1,4,4,329,2729540.00638923,268912.88040522,3199,1714.851574720647,5
552200000,2024-12-02,179000,4,1,1512,1925,19135,1,4,4,326,2726135.85374872,266676.77759397,4915,693.6919158815834,6
032126700,2024-12-20,220000,3,2,990,1925,19143,1,4,2,83,2672074.93332748,235667.6873813,5675,1474.6513239423775,5
604196200,2024-12-20,110000,3,1,1232,1925,19143,1,3,3,83,2672068.92349698,236055.55241922,5945,1106.7840076192203,5
032012900,2024-12-12,110000,3,1,1320,1925,19143,1,4,4,83,2671263.99498872,236896.04056764,5317,1209.744890393789,5
012162600,2024-12-30,365000,3,1,1291,1915,19148,1,4,4,28,2695795.14277673,226333.9166788,5368,863.713453068847,8
344127100,2024-12-31,345000,7,2,2920,1925,19151,1,4,4,375,2668771.34019715,246930.29215263,1888,2908.11795515555,2
023060312,2024-12-12,1400000,4,3,2407,2014,19147,1,3,3,16,2697879.00901581,231603.36676981,3901,1660.9629047320977,8
393444500,2024-11-26,63000,3,1,940,1925,19148,1,4,4,41,2694142.08998048,224027.39537321,4706,2053.5757998822123,4
511095900,2024-12-27,120000,3,1,1120,1920,19143,1,4,4,72,2675359.8063509,233058.11353222,5623,2062.3464772099765,3
461073600,2024-12-23,715000,5,2,2916,1925,19143,1,4,4,79,2678127.39464773,234707.86876288,5491,2537.425918919148,2
072250100,2024-12-14,108000,3,1,1008,1935,19140,1,4,4,383,2701107.62165307,260230.98700789,5060,2713.7911288776595,2
582362500,2024-12-18,387000,4,2,1365,1928,19116,1,4,4,359,2734568.09049314,298504.89733654,429,1261.3750229130364,1
202053301,2024-12-14,255000,3,2,1402,1960,19122,1,4,2,377,2698100.07058156,247979.58237688,6629,623.5906909708144,7
888092870,2024-12-12,360000,1,1,719,1900,19103,1,3,3,8,2691632.17242815,234933.68524039,11578,2617.3858422122626,3
232138500,2024-12-27,45000,3,1,960,1925,19124,1,5,4,299,2716844.60527089,258376.05764689,4807,1152.5809890421253,2
401188600,2024-12-27,120000,3,1,960,1920,19142,1,4,4,66,2673607.14089298,226489.0659748,4877,1395.789937628788,3
252044500,2024-12-19,80000,2,1,870,1920,19134,1,4,4,178,2705049.7702648,250516.1576843,10758,1577.9876897578192,5
131089400,2024-12-27,140000,3,1,1376,1930,19140,1,4,2,202,2694348.82611556,257872.17742105,5859,2258.781008888472,1
888560235,2024-12-27,290000,2,2,1518,1980,19115,1,4,4,345,2726556.63866831,285134.09960313,1291,5384.976121317487,0
888154398,2024-12-27,425000,3,3,1594,2015,19130,1,3,3,133,2693610.78822157,242237.83303364,7788,1289.3211465152524,3
888560643,2024-12-05,246000,2,2,1107,1980,19115,1,4,4,345,2725176.61846247,284745.75293888,922,4161.570326527329,0
301077800,2024-12-14,345000,2,1,990,2005,19146,1,4,4,14,2692601.69247073,232458.96184339,10325,1208.199969396127,7
181058700,2024-12-11,598500,3,2,1531,1915,19125,1,3,3,158,2701807.16290489,243493.15926313,4648,1195.3431287923252,5
583081700,2024-11-26,309000,3,1,1224,1965,19116,1,4,4,365,2739354.0740314,299730.27907214,177,4036.227583484085,0
888054957,2024-12-30,790000,3,2,1630,1971,19106,1,3,4,10,2698989.48120432,233215.13355938,3538,2414.3158493328274,2
582283700,2024-12-13,420000,3,2,1732,1969,19116,1,4,3,358,2728349.12852165,298505.46492071,395,3030.6723288356216,1
888650361,2024-12-13,260000,2,2,1381,1971,19114,1,4,4,351,2742292.89394115,273052.40034138,223,4635.06332672748,0
022073200,2024-01-02,562500,3,1,1414,1992,19147,1,4,4,17,2697983.09607798,230683.0772718,3419,1050.0540739033029,8
251252800,2024-12-24,419000,3,1,1448,1965,19134,1,4,3,180,2707654.44484548,246739.26891263,3159,1384.5488380412526,5
453017500,2024-12-15,249700,3,1,960,1920,19137,1,4,3,183,2717054.14651848,252644.58617021,1167,3039.4070876207443,1
661203500,2024-12-27,355500,3,1,1260,1961,19114,1,4,2,353,2740990.72922264,280462.53512739,1006,982.591062677463,2
521423000,2024-12-19,325000,3,2,1415,1959,19131,1,4,3,122,2681644.47882089,253988.5956213,1164,4016.8926271372993,0
056001200,2024-12-30,1200000,4,3,2700,1920,19106,1,4,4,1,2698124.46324931,237702.68101472,5850,2539.5246159507237,1
212011700,2024-11-15,375000,5,1,2064,1920,19128,1,4,4,210,2679408.91964373,261643.3381858,1294,1935.1503135676485,2
243044300,2024-12-31,145000,2,1,930,1920,19104,1,4,3,108,2683791.25339873,241163.75250463,3981,620.3315580917704,7
193071200,2024-12-27,110000,3,1,1008,1920,19140,1,4,4,195,2701050.3632374,254664.33508347,6335,1129.2331800484405,4
392108400,2024-12-18,230000,3,1,1200,1920,19148,1,4,4,42,2696925.26453222,224820.56078163,4843,1511.4286589671412,4
406133500,2024-12-27,120000,3,1,960,1920,19142,1,4,4,62,2673962.15133782,222106.91266564,4054,838.8838376006078,2
632278100,2024-12-27,340000,3,1,1080,1956,19115,1,4,4,344,2723583.10294873,287111.48442788,601,2475.9844988259733,1
331167100,2024-12-27,120000,3,1,1410,1920,19134,1,4,4,192,2706830.27654631,253850.83080496,9038,1735.0609318142342,4
641020200,2024-07-31,380000,3,2,1230,1960,19152,1,2,2,333,2724924.44016106,273865.31111713,2623,3194.330483985004,2
561251000,2024-12-21,292000,3,1,1188,1957,19152,1,4,3,334,2724472.16285039,274948.31124772,2817,2025.5139494473578,2
214255092,2024-12-16,640000,3,2,2187,1979,19128,1,4,4,218,2673380.99370748,276289.83185863,562,1795.2570804697464,1
393294300,2024-12-13,115000,3,1,1240,1929,19148,1,4,4,41,2694146.28616631,225529.7627753,5321,1137.2187110668992,7
652418205,2024-12-27,380000,3,2,1700,1974,19114,1,4,4,351,2740488.74859931,271601.98460706,260,3414.77026068568,1
071129600,2024-09-18,50000,3,1,920,1935,19133,1,4,4,176,2701741.72865257,252069.92852688,8846,2281.1636747853563,7
314080600,2024-12-17,369000,3,1,1164,1875,19125,1,4,3,160,2705112.25996923,246407.20986547,4369,908.9795983261384,5
282191500,2024-12-18,93000,6,2,2072,1915,19132,1,4,4,169,2687211.12385556,250881.01751888,3651,1595.1293946292344,2
261301000,2024-12-27,250000,3,1,1080,1920,19145,1,4,4,39,2690878.94033881,225242.18592264,5432,304.34081290824344,5
888081122,2024-12-09,875000,3,2,1483,1970,19103,1,4,4,8,2690736.51608297,234838.8130548,9947,2598.597067016761,2
888560201,2024-12-16,85000,2,2,1107,1980,19115,1,4,4,345,2726804.90457597,285335.44106397,1257,5593.700191450577,0
631013202,2024-12-20,400000,3,1,1512,1953,19111,1,4,3,341,2713461.82463489,282099.44261472,530,1909.294395865031,1
393276900,2024-12-27,360000,2,2,1116,1920,19148,1,3,2,41,2694811.27105682,226073.5136563,5459,955.4513263685237,9
191033200,2024-12-27,435000,4,2,1846,2024,19133,1,1,1,162,2701564.62270756,247880.65048814,6263,1686.9374703244291,5
243012700,2024-12-27,115000,3,1,1184,1925,19104,1,4,4,108,2683589.47427472,240741.57979254,4166,669.4446091930544,8
422177500,2024-12-31,179900,3,2,1350,1930,19120,1,4,4,286,2701866.23463714,263799.99463363,5207,1887.0356163800707,2
651175000,2024-12-27,243000,3,1,1234,1945,19136,1,4,4,329,2729661.2863304,269005.20043054,3148,1693.6038717670724,4
452405300,2024-12-27,90000,3,2,1668,1915,19134,1,4,4,188,2709210.5260509,254120.60355937,7804,825.6698988740975,3
042257400,2024-12-19,120000,3,1,1050,1920,19139,1,4,4,95,2672286.76886182,241019.20948663,7979,1291.094282894908,3
452339400,2024-12-24,125000,3,1,1004,1910,19134,1,4,4,188,2709292.40285565,253029.65200113,8229,1653.728659768096,5
131243200,2024-12-09,61690,4,1,1600,1930,19140,1,4,4,201,2694595.97161865,256790.94270688,6212,1468.0361456209855,1
162105300,2024-12-30,135000,2,1,868,1915,19132,1,4,2,168,2692899.26799107,249752.08867438,8631,1662.907497171915,7
422109100,2024-12-23,200000,3,1,1328,1930,19120,1,4,4,286,2702159.57985097,262873.45482005,5137,2774.83747011904,2
371236300,2024-12-23,85000,4,1,1164,1915,19133,1,4,4,165,2696485.96849482,250405.27667247,8083,1910.4549706895384,5
422128500,2024-12-30,160000,3,1,1120,1930,19120,1,4,4,286,2702280.9099889,263223.06337281,5152,2587.506868295561,2
351402200,2024-12-30,187500,2,2,1276,1925,19124,1,4,4,390,2713781.46999298,265641.17139746,3368,1708.971751467624,3
122289800,2024-12-30,72115,3,1,1056,1900,19138,1,4,4,249,2693585.56025365,271125.09448472,4037,581.8510582383748,5
604131800,2024-11-14,111000,3,1,822,1925,19143,1,4,4,81,2673477.07488014,235944.57298239,7105,1534.5937612009036,2
351214000,2024-12-03,130000,3,1,1128,1925,19120,1,4,4,305,2709486.13639206,268752.60185438,2228,2088.3010120296462,2
351400200,2024-12-30,170000,3,1,1276,1925,19124,1,4,4,390,2713528.6335564,265448.20196714,3285,1397.244316262721,3
532235100,2024-12-27,270000,3,1,1170,1950,19111,1,4,4,310,2716369.85228339,272942.91598029,3372,1779.3712591556434,1
131422400,2024-12-27,100000,2,1,1350,1930,19140,1,4,4,205,2692750.43364306,257905.90635622,4676,2292.26949486831,1
481244800,2024-12-18,115000,2,1,664,1920,19145,1,4,4,39,2690463.42017248,226470.24153738,5489,1364.8175390714273,5
232150600,2024-12-24,85000,3,1,984,1930,19124,1,4,4,299,2716956.56141181,258782.93445779,5324,750.4138758254419,2
321191400,2024-12-20,110000,5,2,1144,1925,19121,1,4,2,153,2693488.60670739,248482.03904913,8986,1588.459915384975,7
622154700,2024-12-27,250000,3,2,1112,1940,19124,1,4,2,300,2718258.83505398,261845.57531413,5426,1399.5272479162486,5
888211618,2024-01-02,170000,1,1,699,2004,19128,1,3,3,214,2676416.23074722,263519.79276621,1614,2037.2372916467987,3
612018300,2024-12-27,265000,3,1,1440,1925,19120,1,4,2,273,2704134.93121523,266782.10054605,3891,1348.0697291676831,3
441116200,2024-12-24,42100,3,1,1404,1925,19139,1,5,4,93,2676561.90696506,239125.44883847,7424,2018.6033552096496,4
