Model,MAE,RMSE,Correlation
Baseline (Train),1.9367274518296256,5.106562943691111,0.21141551977097262
Full Poisson (Train),1.7220492492724184,3.3054086181005795,0.42771329343224107
Neg. Binomial (Train),2.822443975623332,94.04819053838528,0.1046791395743031
Enhanced (Train),1.6950981804161802,3.2121184614438034,0.45109087203122433
Baseline (Test),1.9221880743241693,2.489685987982922,0.2852588677584375
Full Poisson (Test),1.8249812388876392,2.4859229361609656,0.3681252472657947
Neg. Binomial (Test),1.8891468199071795,2.951456486848519,0.3118171426265182
Enhanced (Test),1.779561405787416,2.4102493364044815,0.44217757353830556
